nodes,darts,time,pi
2,1e3,0.09,3.124000

4,1e3,0.13,3.060000

8,1e3,0.16,3.170000

16,1e3,0.18,3.137500

32,1e3,0.19,3.131250

64,1e3,0.24,3.147500

2,1e6,0.11,3.142444

4,1e6,0.14,3.140208

8,1e6,0.18,3.141456

16,1e6,0.17,3.141988

32,1e6,0.20,3.140970

64,1e6,0.24,3.144331

2,1e9,21.64,3.141639

4,1e9,10.93,3.141610

8,1e9,6.68,3.141628

16,1e9,3.44,3.141632

32,1e9,2.00,3.141579

64,1e9,1.01,3.141566

